Restarurant,Menu_Group,Item_Name,Price and Size,Description,Foods,Choices,"Levels (mild, Medium, Hot)"
RGP'S,Flame Grilled Wraps,Veggie,7.2,"Sweet roasted red peppers, sweet corn, roma tomatoes, red onion, green pepper, carrots, crisp romaine lettuce and choice of Cheese and Dressing.","red peppers, sweet corn, roma tomatoes, red onion, green pepper, carrots, crisp romaine lettuce","Dressing, Cheese",
RGP'S,Flame Grilled Wraps,Pulled Pork BBQ,,"Smoked Pulled Pork, Cheddar Cheese, Red Onion, Black Beans, Homemade Cole Slaw, and our Classic BBQ Sauce.","Smoked Pulled Pork, Cheddar Cheese, Red Onion, Black Beans",,
RGP'S,Flame Grilled Wraps,Roasted Chicken or Turkey Breast,,"With the Freshest Combination of Roma Tomatoes, Red Onion, Green Peppers, Carrots, Crisp Romaine Lettuce, and Choice of Cheese and Dressing.","Roma Tomatoes, Red Onion, Green Peppers, Carrots, Romaine Lettuce",,
RGP'S,Salads,Caeser Salad,,"Crisp Romaine Lettuce, Croutons, Pecorino Romano Cheese, and our Caesar Dressing.","Crisp Romaine Lettuce, Croutons, Pecorino Romano Cheese",Dressing.,
RGP'S,Salads,Full House,,"Romaine Lettuce with Roma Tomatoes, Red Onion, Green Peppers, Carrots, Cucumbers, Roasted Red Peppers.","Romaine Lettuce, Roma Tomatoes, Red Onion, Green Peppers, Carrots, Cucumbers, Roasted Red Peppers",,
,,,,,,,
Ninis,Buritos,Chicken,"7.5:small, 8.75:regular",,Chicken,"Rice, Beans, Salsa",
Ninis,Buritos,Barbacoa,"7.5:small, 8.75:regular",Shredded beef,Shredded beef,"Rice, Beans, Salsa",
Ninis,Buritos,Carnitas,"7.5:small, 8.75:regular",Shredded pork,Shredded pork,,
