Restaurant,Name,Description,price_size
RGP's,Flame Grilled Wraps,Served warm on our flame grilled crusts & come with choice of REGULAR OR BARBECUE potato chips or cole slaw,
RGP's,Salads,Add Chicken to any salad for $1.50,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Nini's,Burrito,"A flour tortilla with beans, rice, sour crea, cheese, salsa, and...",
Nini's,Tacos,,
