Restaurant,Name,Description
RGP's,Flame Grilled Wraps,Served warm on our flame grilled crusts & come with choice of REGULAR OR BARBECUE potato chips or cole slaw
RGP's,Salads,Add Chicken to any salad for $1.50
,,
Ninis,Burrito,"A flour tortilla with beans, rice, sour crea, cheese, salsa"
Ninis,Tacos,"Three soft flour or corn tortillas filled with sour cream, cheese, lettuce, salsa"
